,出发地 , 目的地,价格 ,节省,路线名,酒店,房间,去程航司,去程方式,去程时间,回程航司,回程方式 ,回程时间
1848,南京,三亚,1648,478,南京-三亚3天2晚 | 入住三亚南田温泉度假酒店 + 首都航空往返机票,三亚南田温泉度假酒店 舒适型 0.0分/5分,高级园景双标房-预付 双床 不含早 1间2晚,首都航空 JD5126,直飞,11:05-14:10,首都航空 JD5125,直飞,06:20-09:30
1849,重庆,厦门,1892,470,重庆-厦门3天2晚 | 入住厦门华美达长升大酒店 + 西藏航空/厦门航空往返机票,厦门华美达长升大酒店 4.1分/5分,标准房(错峰出游) 大/双床 双早 1间2晚,西藏航空 TV9869,直飞,18:35-21:10,厦门航空 MF8403,经停,06:50-10:45
1850,天津,西双版纳,3027,816,天津-西双版纳3天2晚 | 入住西双版纳景祥大酒店 + 东方航空往返机票,西双版纳景祥大酒店 舒适型 4.5分/5分,温馨大床房 大床 不含早 1间2晚,东方航空 MU5748,经停,14:15-20:00,东方航空 MU5747,经停,07:30-12:55
1851,沈阳,青岛,920,328,沈阳-青岛3天2晚 | 入住青岛凯莱商务酒店 + 青岛航/南方航空往返机票,青岛凯莱商务酒店 豪华型 4.5分/5分,高级双床房[无早] 双床 不含早 1间2晚,青岛航 QW9780,直飞,22:35-00:10,南方航空 CZ6568,直飞,20:55-22:35
1852,深圳,天津,1788,406,深圳-天津3天2晚 | 入住麗枫酒店天津西湖道店 + 海南航空/奥凯航空往返机票,麗枫酒店天津西湖道店 舒适型 4.4分/5分,住+A大床房(内宾)(... 大床 不含早 1间2晚,海南航空 HU7303,直飞,06:30-09:40,奥凯航空 BK2777,直飞,07:45-11:10
1853,青岛,北京,1105,332,青岛-北京3天2晚 | 入住北京雾灵山雾灵溪谷度假村 + 山东航空往返机票,北京雾灵山雾灵溪谷度假村 舒适型 3.4分/5分,标准间 大/双床 双早 1间2晚,山东航空 SC4653,直飞,12:45-14:15,山东航空 SC4650,直飞,23:05-00:30
1854,青岛,深圳,1715,500,青岛-深圳3天2晚 | 入住深圳华茂航空酒店 + 南方航空/深圳航空往返机票,深圳华茂航空酒店 舒适型 4.3分/5分,高级大床房(限时抢订) 大床 不含早 1间2晚,南方航空 CZ3964,直飞,21:25-00:35,深圳航空 ZH9913,直飞,14:10-17:15
1855,厦门,武汉,970,336,厦门-武汉3天2晚 | 入住武汉友发商务酒店 + 山东航空/南方航空往返机票,武汉友发商务酒店 舒适型 4.3分/5分,商务大床间 大床 不含早 1间2晚,山东航空 SC4797,直飞,07:00-08:45,南方航空 CZ6548,直飞,21:10-22:40
1856,重庆,大连,2170,526,重庆-大连3天2晚 | 入住大连心悦大酒店 + 南方航空/深圳航空往返机票,大连心悦大酒店 3.9分/5分,行政双人间(双床) 双床 不含早 1间2晚,南方航空 CZ6580,经停,13:15-17:50,深圳航空 ZH9468,经停,15:20-21:05
1857,广州,西双版纳,2993,782,广州-西双版纳3天2晚 | 入住西双版纳告庄游民之家酒店 + 东方航空往返机票,西双版纳告庄游民之家酒店 经济型 4.7分/5分,独立阳台观景双床房-去... 双床 不含早 1间2晚,东方航空 MU5734,经停,17:40-23:00,东方航空 MU5741,经停,10:15-15:10
1858,沈阳,九寨沟,1996,474,沈阳-九寨沟3天2晚 | 入住阿坝九寨沟九源酒店 + 西藏航空/成都航空往返机票,阿坝九寨沟九源酒店 高档型 4.4分/5分,迷你大床房-限内宾 大床 双早 1间2晚,西藏航空 TV9880,直飞,21:10-00:55,成都航空 EU2765,经停,13:35-19:10
1859,广州,天津,1672,420,广州-天津3天2晚 | 入住天津万源龙顺度假庄园 + 奥凯航空/海南航空往返机票,天津万源龙顺度假庄园 3.6分/5分,标准间[双早] 其他 双早 1间2晚,奥凯航空 BK2787,直飞,06:55-10:00,海南航空 HU7201,直飞,20:15-23:25
1860,武汉,西安,941,350,武汉-西安3天2晚 | 入住尚俭太空舱公寓西安钟楼地铁站店 + 东方航空往返机票,尚俭太空舱公寓西安钟楼地铁站店 经济型 4.8分/5分,经济舱(内宾，不接待新... 其他 不含早 1间2晚,东方航空 MU2194,直飞,21:50-23:30,东方航空 MU2462,直飞,19:35-21:20
1861,宁波,大连,1449,380,宁波-大连3天2晚 | 入住大连橡树公馆 + 南方航空/海南航空往返机票,大连橡树公馆 高档型 4.8分/5分,温馨客房(限量抢购)(... 大床 不含早 1间2晚,南方航空 CZ6326,直飞,17:55-20:05,海南航空 HU7718,直飞,07:00-09:00
1862,成都,鼓浪屿,2071,548,成都-鼓浪屿3天2晚 | 入住厦门曾厝垵垵墅海边客栈 + 四川航空/山东航空往返...,厦门曾厝垵垵墅海边客栈 经济型 4.6分/5分,主题大床房 大床 不含早 1间2晚,四川航空 3U8869,直飞,08:00-10:40,山东航空 SC4763,经停,06:15-10:15
1863,杭州,成都,1831,526,杭州-成都3天2晚 | 入住成都新都石板滩君豪酒店 + 成都航空/长龙航空往返机票,成都新都石板滩君豪酒店 舒适型 4.1分/5分,标准大床房 大床 不含早 1间2晚,成都航空 EU2206,经停,20:30-01:00,长龙航空 GJ8680,经停,20:25-00:50
1864,,烟台,647,348,大连-烟台3天2晚 | 入住烟台海阳黄金海岸大酒店 + 幸福航空/天津航空往返机票,烟台海阳黄金海岸大酒店 3.7分/5分,海景标准间(内宾)[双... 双床 双早 1间2晚,幸福航空 JR1582,直飞,10:05-11:05,天津航空 GS6402,直飞,16:30-17:25
1865,重庆,西安,948,340,重庆-西安3天2晚 | 入住布丁酒店西安大雁塔南店 + 首都航空/西部航空往返机票,布丁酒店西安大雁塔南店 经济型 4.0分/5分,特惠大床房A 大床 不含早 1间2晚,首都航空 JD5102,直飞,10:45-12:05,西部航空 PN6222,直飞,23:50-01:20
1866,杭州,长沙,1110,360,杭州-长沙3天2晚 | 入住长沙宇庭商务酒店 + 成都航空/厦门航空往返机票,长沙宇庭商务酒店 舒适型 3.6分/5分,标准双人房 其他 不含早 1间2晚,成都航空 EU2206,直飞,20:30-22:15,厦门航空 MF8454,直飞,22:20-23:55
1867,青岛,丽江,2363,566,青岛-丽江3天2晚 | 入住丽江老司机青年旅社 + 青岛航往返机票,丽江老司机青年旅社 经济型 4.7分/5分,二楼温馨大床房(不含早... 大床 不含早 1间2晚,青岛航 QW9834,经停,06:35-12:00,青岛航 QW9833,经停,12:45-18:25
1868,杭州,西宁,2581,666,杭州-西宁3天2晚 | 入住西宁高原印象时尚酒店 + 长龙航空往返机票,西宁高原印象时尚酒店 舒适型 4.1分/5分,精致标准间（空调房）-... 双床 双早 1间2晚,长龙航空 GJ8941,经停,15:00-20:00,长龙航空 GJ8942,经停,11:40-16:20
1869,哈尔滨,长沙,2118,510,哈尔滨-长沙3天2晚 | 入住长沙融程花园酒店 + 海南航空/奥凯航空往返机票,长沙融程花园酒店 豪华型 4.4分/5分,高级客房(双床) 双床 不含早 1间2晚,海南航空 HU7726,经停,16:25-22:05,奥凯航空 BK2849,经停,07:15-12:50
1870,武汉,呼和浩特,1847,548,武汉-呼和浩特3天2晚 | 入住呼和浩特丽泰三禾宾馆 + 首都航空/深圳航空往返...,呼和浩特丽泰三禾宾馆 舒适型 3.4分/5分,标准间-开学特惠 双床 不含早 1间2晚,首都航空 JD5339,直飞,13:35-15:35,深圳航空 ZH9128,直飞,13:55-15:50
1871,西安,三亚,1629,452,西安-三亚3天2晚 | 入住三亚印象海空中花园度假公寓 + 首都航空/四川航空往...,三亚印象海空中花园度假公寓 舒适型 4.3分/5分,优选海景大床房-不含早... 大床 不含早 1间2晚,首都航空 JD5513,经停,12:50-17:55,四川航空 3U8512,经停,12:35-17:05
1872,沈阳,长沙,1870,496,沈阳-长沙3天2晚 | 入住长沙紫鑫大酒店 + 海南航空/四川航空往返机票,长沙紫鑫大酒店 高档型 4.3分/5分,豪华标间(今日特惠)(... 双床 不含早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55
1873,深圳,天津,1651,394,深圳-天津3天2晚 | 入住天津滨海新区大港花园别墅 + 海南航空/奥凯航空往返...,天津滨海新区大港花园别墅 舒适型 3.9分/5分,标准间-（预付） 双床 不含早 1间2晚,海南航空 HU7303,直飞,06:30-09:40,奥凯航空 BK2777,直飞,07:45-11:10
1874,武汉,大连,1312,400,武汉-大连3天2晚 | 入住大连千山商务酒店 + 祥鹏航空/首都航空往返机票,大连千山商务酒店 4.7分/5分,标准双床房-不含早（预... 双床 不含早 1间2晚,祥鹏航空 8L9891,直飞,13:15-15:45,首都航空 JD5356,直飞,14:40-17:05
1875,深圳,,2149,494,深圳-大连3天2晚 | 入住大连黄金山大酒店 + 南方航空/东海往返机票,大连黄金山大酒店 舒适型 3.4分/5分,标准间 大/双床 不含早 1间2晚,南方航空 CZ6833,直飞,09:10-12:40,东海 DZ6242,经停,12:40-18:00
1876,北京,哈尔滨,1371,366,北京-哈尔滨3天2晚 | 入住南苑e家精选酒店哈尔滨果戈里秋林店 + 南方航空/...,南苑e家精选酒店哈尔滨果戈里秋林店 舒适型 4.4分/5分,标准大床房 大床 双早 1间2晚,南方航空 CZ6202,直飞,22:20-00:20,大新华航空 CN7150,直飞,22:50-00:55
1877,重庆,呼和浩特,1420,372,重庆-呼和浩特3天2晚 | 入住呼和浩特牧人商务酒店 + 西部航空/华夏航空往返...,呼和浩特牧人商务酒店 舒适型 4.4分/5分,枫林书屋房-不含早（预... 双床 不含早 1间2晚,西部航空 PN6275,直飞,12:45-15:15,华夏航空 G52840,经停,18:50-22:20
1878,上海,大连,1183,342,上海-大连3天2晚 | 入住大连普兰店发国大酒店 + 南方航空/吉祥航空往返机票,大连普兰店发国大酒店 舒适型 4.6分/5分,无窗双床房-含双早（预... 双床 双早 1间2晚,南方航空 CZ3686,直飞,22:15-00:20,吉祥航空 HO1164,直飞,21:55-23:45
1879,长春,青岛,1342,368,长春-青岛3天2晚 | 入住即墨锦茂宾馆 + 南方航空往返机票,即墨锦茂宾馆 4.2分/5分,西楼精品大床房(预付★... 大床 不含早 1间2晚,南方航空 CZ3938,直飞,20:00-21:55,南方航空 CZ3963,直飞,15:40-17:30
1880,天津,重庆,1469,404,天津-重庆3天2晚 | 入住重庆淮远云舍酒店 + 华夏航空往返机票,重庆淮远云舍酒店 高档型 4.7分/5分,舒适大床房(双人入住)... 大床 双早 1间2晚,华夏航空 G52656,经停,17:25-22:10,华夏航空 G52785,经停,07:25-11:10
1881,南京,昆明,1175,338,南京-昆明3天2晚 | 入住昆明海棠饭店 + 祥鹏航空/四川航空往返机票,昆明海棠饭店 4.3分/5分,商务标间[含早](双床) 双床 双早 1间2晚,祥鹏航空 8L9884,直飞,21:50-00:40,四川航空 3U8227,直飞,11:20-14:10
1882,上海,神农架,1102,334,上海-神农架3天2晚 | 入住神农假日酒店 + 东方航空/吉祥航空往返机票,神农假日酒店 3.6分/5分,普通标间(贵宾楼)(双... 双床 双早 1间2晚,东方航空 MU2512,直飞,20:00-21:55,吉祥航空 HO1074,直飞,19:20-21:05
1883,北京,沈阳,1781,476,北京-沈阳3天2晚 | 入住沈阳世海哲人精品酒店太原街沈阳站店 + 南方航空往返...,沈阳世海哲人精品酒店太原街沈阳站店 舒适型 4.6分/5分,高级双床房(特惠38层) 双床 不含早 1间2晚,南方航空 CZ6110,直飞,22:10-23:40,南方航空 CZ6532,直飞,22:45-00:25
1884,重庆,天津,1241,344,重庆-天津3天2晚 | 入住宜必思酒店天津塘沽店 + 华夏航空往返机票,宜必思酒店天津塘沽店 舒适型 4.3分/5分,大床房(预付) 大床 不含早 1间2晚,华夏航空 G52655,经停,19:55-23:45,华夏航空 G52656,经停,17:25-22:10
1885,成都,泸沽湖,3585,932,成都-泸沽湖3天2晚 | 入住丽江悦榕庄 + 成都航空往返机票,丽江悦榕庄 豪华型 4.7分/5分,豪华园景房别墅房(VI... 大/双床 双早 1间2晚,成都航空 EU2237,直飞,19:45-21:20,成都航空 EU2738,直飞,23:30-01:05
1886,天津,西双版纳,3148,822,天津-西双版纳3天2晚 | 入住西双版纳菠萝蜜客栈告庄西双景店 + 东方航空往返...,西双版纳菠萝蜜客栈告庄西双景店 舒适型 4.8分/5分,豪华大床房 大床 不含早 1间2晚,东方航空 MU5748,经停,14:15-20:00,东方航空 MU5747,经停,07:30-12:55
1887,北京,九寨沟,1896,524,北京-九寨沟3天2晚 | 入住红原游牧时光假日酒店 + 南方航空/联合航空往返机票,红原游牧时光假日酒店 舒适型 3.3分/5分,三星标房(双床) 双床 双早 1间2晚,南方航空 CZ3903,直飞,14:45-18:00,联合航空 KN5218,直飞,22:20-01:00
1888,沈阳,武汉,1468,418,沈阳-武汉3天2晚 | 入住武汉凯瑞时代酒店 + 南方航空往返机票,武汉凯瑞时代酒店 舒适型 4.3分/5分,商务标间(双床)(内宾) 双床 不含早 1间2晚,南方航空 CZ6762,直飞,16:45-19:35,南方航空 CZ6304,直飞,23:05-01:45
1889,重庆,丽江,1153,362,重庆-丽江3天2晚 | 入住丽江两米爱情客栈 + 四川航空/南方航空往返机票,丽江两米爱情客栈 舒适型 4.9分/5分,精品标间-预付 双床 不含早 1间2晚,四川航空 3U8679,直飞,08:25-10:15,南方航空 CZ6292,直飞,12:50-14:30
1890,武汉,承德,1940,614,武汉-承德3天2晚 | 入住承德爱舍公寓酒店 + 南方航空/东方航空往返机票,承德爱舍公寓酒店 舒适型 4.6分/5分,大床房(预付) 大床 不含早 1间2晚,南方航空 CZ6605,直飞,22:25-00:20,东方航空 MU2454,直飞,22:35-00:55
1891,宁波,重庆,1695,414,宁波-重庆3天2晚 | 入住重庆永川大酒店 + 南方航空/四川航空往返机票,重庆永川大酒店 4.2分/5分,豪华标间(双床) 双床 双早 1间2晚,南方航空 CZ8116,直飞,17:15-19:40,四川航空 3U8983,直飞,06:55-09:35
1892,北京,神农架,2133,498,北京-神农架3天2晚 | 入住神农架德溪居酒店 + 中国国航/东方航空往返机票,神农架德溪居酒店 舒适型 0.0分/5分,高级大床房 大床 双早 1间2晚,中国国航 CA8208,直飞,15:40-18:05,东方航空 MU2455,直飞,18:00-19:55
1893,青岛,哈尔滨,1194,376,青岛-哈尔滨3天2晚 | 入住哈尔滨林苑宾馆中央大街店 + 福州/东方航空往返机票,哈尔滨林苑宾馆中央大街店 3.9分/5分,大床房 大床 不含早 1间2晚,福州 FU6658,直飞,22:20-00:20,东方航空 MU5518,直飞,08:35-10:35
1894,重庆,天津,1287,350,重庆-天津3天2晚 | 入住富驿时尚酒店天津滨江道店 + 华夏航空往返机票,富驿时尚酒店天津滨江道店 舒适型 4.2分/5分,舒适大床房 大床 不含早 1间2晚,华夏航空 G52655,经停,19:55-23:45,华夏航空 G52656,经停,17:25-22:10
1895,哈尔滨,天津,979,338,哈尔滨-天津3天2晚 | 入住富驿时尚酒店天津滨江道店 + 海南航空/福州往返机票,富驿时尚酒店天津滨江道店 舒适型 4.2分/5分,舒适大床房 大床 不含早 1间2晚,海南航空 HU7726,直飞,16:25-18:30,福州 FU6555,直飞,21:40-23:40
1896,南京,西宁,1916,520,南京-西宁3天2晚 | 入住西宁军港商务宾馆 + 海南航空/东方航空往返机票,西宁军港商务宾馆 舒适型 4.2分/5分,标准房-（预付特惠） 双床 不含早 1间2晚,海南航空 HU7592,经停,16:55-21:20,东方航空 MU2896,经停,21:30-01:50
1897,杭州,长沙,1242,352,杭州-长沙3天2晚 | 入住长沙金源阳光酒店 + 成都航空/厦门航空往返机票,长沙金源阳光酒店 4.4分/5分,副楼高级大床房[无早] 大床 不含早 1间2晚,成都航空 EU2206,直飞,20:30-22:15,厦门航空 MF8454,直飞,22:20-23:55
1898,宁波,哈尔滨,2701,670,宁波-哈尔滨3天2晚 | 入住哈尔滨远达商务酒店火车站店 + 南方航空/东方航空...,哈尔滨远达商务酒店火车站店 3.8分/5分,舒适标准间(内宾)(双... 双床 双早 1间2晚,南方航空 CZ6212,直飞,13:25-16:35,东方航空 MU5647,直飞,06:50-09:55
1899,南京,昆明,1183,342,南京-昆明3天2晚 | 入住昆明兴铁宾馆 + 祥鹏航空/四川航空往返机票,昆明兴铁宾馆 3.6分/5分,标准间(双床) 双床 不含早 1间2晚,祥鹏航空 8L9884,直飞,21:50-00:40,四川航空 3U8227,直飞,11:20-14:10
1900,青岛,重庆,1543,430,青岛-重庆3天2晚 | 入住重庆御尚锦酒店龙门阵魔幻山店 + 山东航空/华夏航空...,重庆御尚锦酒店龙门阵魔幻山店 舒适型 4.1分/5分,特惠房(双床) 双床 不含早 1间2晚,山东航空 SC4709,经停,19:30-00:05,华夏航空 G54710,经停,18:00-22:25
1901,青岛,长沙,1918,464,青岛-长沙3天2晚 | 入住长沙万代大酒店 + 青岛航/幸福航空往返机票,长沙万代大酒店 高档型 4.1分/5分,高级双床房 双床 双早 1间2晚,青岛航 QW9775,直飞,06:20-08:40,幸福航空 JR2769,直飞,06:40-09:05
1902,青岛,海口,1735,456,青岛-海口3天2晚 | 入住海口椰之恋酒店 + 青岛航/山东航空往返机票,海口椰之恋酒店 舒适型 4.1分/5分,豪华双床房(特惠专享)... 双床 不含早 1间2晚,青岛航 QW9785,经停,06:45-13:05,山东航空 SC4884,经停,19:05-00:05
1903,宁波,武汉,1303,362,宁波-武汉3天2晚 | 入住富驿时尚酒店武汉吴家山店 + 南方航空/东方航空往返...,富驿时尚酒店武汉吴家山店 舒适型 4.5分/5分,主题圆床房（无窗）(大... 大床 双早 1间2晚,南方航空 CZ3441,直飞,16:10-17:50,东方航空 MU2473,直飞,13:15-14:40
1904,杭州,呼和浩特,1479,452,杭州-呼和浩特3天2晚 | 入住水月城温泉大酒店 + 长龙航空/厦门航空往返机票,水月城温泉大酒店 舒适型 3.8分/5分,普通标准间-手机专享 其他 不含早 1间2晚,长龙航空 GJ8673,经停,06:40-11:05,厦门航空 MF8184,直飞,15:55-18:20
1905,青岛,大连,988,328,青岛-大连3天2晚 | 入住辽宁师范大学文化交流中心 + 华夏航空/山东航空往返...,辽宁师范大学文化交流中心 舒适型 0.0分/5分,豪华标准间-初春钜惠预付 双床 双早 1间2晚,华夏航空 G54837,直飞,10:30-11:30,山东航空 SC4626,直飞,23:05-00:15
1906,杭州,重庆,1646,486,杭州-重庆3天2晚 | 入住丰都皇都大酒店 + 四川航空/海南航空往返机票,丰都皇都大酒店 4.0分/5分,豪华标准间(限时抢订)... 双床 不含早 1间2晚,四川航空 3U8936,直飞,22:15-00:40,海南航空 HU7388,直飞,23:20-01:40
1907,南京,九寨沟,1889,550,南京-九寨沟3天2晚 | 入住九寨沟九龙宾馆 + 东方航空/西藏航空往返机票,九寨沟九龙宾馆 4.4分/5分,豪华标准间(双床)(特... 双床 双早 1间2晚,东方航空 MU2880,直飞,21:55-00:35,西藏航空 TV9839,直飞,06:30-08:55
1908,成都,杭州,1711,472,成都-杭州3天2晚 | 入住杭州金马金致酒店 + 长龙航空/厦门航空往返机票,杭州金马金致酒店 舒适型 4.7分/5分,精致双床房(内宾)(预... 双床 单早 1间2晚,长龙航空 GJ8680,经停,20:25-00:50,厦门航空 MF8423,直飞,08:10-11:05
1909,南京,大连,1076,330,南京-大连3天2晚 | 入住大连渤海明珠酒店 + 东方航空/中国国航往返机票,大连渤海明珠酒店 4.2分/5分,标准房[无早] 大/双床 不含早 1间2晚,东方航空 MU2798,直飞,23:15-00:55,中国国航 CA8957,直飞,07:15-08:55
1910,天津,青岛,794,328,天津-青岛3天2晚 | 入住青岛海悦来旅馆 + 青岛航/山东航空往返机票,青岛海悦来旅馆 经济型 0.0分/5分,普通大床房-预付 大床 不含早 1间2晚,青岛航 QW9854,直飞,20:50-22:05,山东航空 SC4717,直飞,07:00-08:20
1911,厦门,太原,1637,446,厦门-太原3天2晚 | 入住太原中财大酒店 + 山东航空往返机票,太原中财大酒店 舒适型 3.8分/5分,普通标准间A[无早](... 双床 不含早 1间2晚,山东航空 SC4811,直飞,17:45-20:20,山东航空 SC4812,直飞,21:05-23:45
1912,上海,长沙,1042,346,上海-长沙3天2晚 | 入住宁乡君天大酒店 + 南方航空/吉祥航空往返机票,宁乡君天大酒店 舒适型 3.9分/5分,标准双人间(无窗)(双... 双床 不含早 1间2晚,南方航空 CZ3970,直飞,21:20-23:20,吉祥航空 HO1072,直飞,21:25-23:20
1913,厦门,天津,1167,384,厦门-天津3天2晚 | 入住天津海得润滋酒店 + 华夏航空/厦门航空往返机票,天津海得润滋酒店 4.5分/5分,标准双人房(限量抢购)... 双床 不含早 1间2晚,华夏航空 G54801,直飞,07:25-10:20,厦门航空 MF8139,直飞,07:25-10:15
1914,济南,厦门,2653,606,济南-厦门3天2晚 | 入住厦门温特雅酒店 + 山东航空/厦门航空往返机票,厦门温特雅酒店 舒适型 3.9分/5分,标准房(大床)(预付) 大床 不含早 1间2晚,山东航空 SC1152,直飞,21:10-23:25,厦门航空 MF8571,直飞,09:00-11:15
1915,深圳,丽江,1838,592,深圳-丽江3天2晚 | 入住丽江古城山水桃源客栈 + 东方航空/南方航空往返机票,丽江古城山水桃源客栈 经济型 4.4分/5分,田园标间 双床 不含早 1间2晚,东方航空 MU5758,经停,17:20-22:00,南方航空 CZ8548,直飞,12:25-14:45
1916,广州,三亚,1395,394,广州-三亚3天2晚 | 入住三亚铂金海景大酒店 + 海南航空往返机票,三亚铂金海景大酒店 舒适型 4.3分/5分,山景双人房 其他 双早 1间2晚,海南航空 HU7322,直飞,19:35-21:05,海南航空 HU7321,直飞,22:30-00:05
1917,南京,长沙,948,328,南京-长沙3天2晚 | 入住长沙佳华酒店 + 东方航空往返机票,长沙佳华酒店 舒适型 4.2分/5分,标准大床房(提前3小时... 大床 不含早 1间2晚,东方航空 MU2715,直飞,10:55-12:40,东方航空 MU2746,直飞,23:55-01:30
1918,北京,长沙,1415,348,北京-长沙3天2晚 | 入住长沙万代大酒店 + 海南航空/南方航空往返机票,长沙万代大酒店 高档型 4.1分/5分,高级双床房 双床 双早 1间2晚,海南航空 HU7135,直飞,17:45-20:30,南方航空 CZ3855,直飞,22:55-01:10
1919,沈阳,长沙,1837,484,沈阳-长沙3天2晚 | 入住莫林风尚酒店长沙侯家塘雅礼店 + 海南航空/四川航空...,莫林风尚酒店长沙侯家塘雅礼店 舒适型 4.4分/5分,迷你时空D-不含早-预付 大床 不含早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55
1920,济南,丽江,2230,590,济南-丽江3天2晚 | 入住丽江晶玉良居客栈 + 山东航空往返机票,丽江晶玉良居客栈 经济型 4.6分/5分,一楼标准间-预付 双床 不含早 1间2晚,山东航空 SC4639,经停,07:55-12:30,山东航空 SC4640,经停,13:15-17:35
1921,青岛,承德,1295,318,青岛-承德3天2晚 | 入住承德盛华大酒店 + 山东航空往返机票,承德盛华大酒店 4.3分/5分,豪华标准间(双床) 双床 双早 1间2晚,山东航空 SC4653,直飞,12:45-14:15,山东航空 SC4650,直飞,23:05-00:30
1922,广州,丽江,1852,490,广州-丽江3天2晚 | 入住Q居丽江芸栖客栈 + 首都航空/东方航空往返机票,Q居丽江芸栖客栈 经济型 4.9分/5分,豪华标准房-【Q居特惠... 双床 不含早 1间2晚,首都航空 JD5131,直飞,13:45-16:40,东方航空 MU5733,经停,21:30-01:25
1923,济南,九寨沟,1604,402,济南-九寨沟3天2晚 | 入住川主国际饭店 + 中国国航/成都航空往返机票,川主国际饭店 4.1分/5分,高级双人房(双床) 双床 不含早 1间2晚,中国国航 CA4528,直飞,21:00-23:30,成都航空 EU2719,直飞,06:55-09:25
1924,沈阳,长沙,1857,486,沈阳-长沙3天2晚 | 入住长沙天洋大酒店 + 海南航空/四川航空往返机票,长沙天洋大酒店 3.9分/5分,标准大床房[无早] 大床 不含早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55
1925,南京,陵水,4136,1041,南京-陵水3天2晚 | 入住香水湾君澜度假酒店 + 首都航空/东方航空往返机票,香水湾君澜度假酒店 豪华型 4.7分/5分,景澜居（一房一亭泳池别... 大床 双早 1间2晚,首都航空 JD5126,直飞,11:05-14:10,东方航空 MU2728,经停,19:10-23:50
1926,深圳,长沙,1654,388,深圳-长沙3天2晚 | 入住长沙无限风光假日酒店 + 南方航空往返机票,长沙无限风光假日酒店 舒适型 3.9分/5分,标准双人间(携手游江湖... 双床 不含早 1间2晚,南方航空 CZ6890,直飞,16:20-17:40,南方航空 CZ6889,直飞,13:50-15:10
1927,深圳,张家界,1996,522,深圳-张家界3天2晚 | 入住张家界长公馆酒店 + 南方航空往返机票,张家界长公馆酒店 舒适型 4.3分/5分,土家房(大床) 大床 双早 1间2晚,南方航空 CZ3991,直飞,22:15-23:50,南方航空 CZ3992,直飞,07:10-08:45
1928,青岛,长沙,1761,452,青岛-长沙3天2晚 | 入住莫林风尚酒店长沙侯家塘雅礼店 + 青岛航/幸福航空往...,莫林风尚酒店长沙侯家塘雅礼店 舒适型 4.4分/5分,迷你时空D-不含早-预付 大床 不含早 1间2晚,青岛航 QW9775,直飞,06:20-08:40,幸福航空 JR2769,直飞,06:40-09:05
1929,深圳,大连,2059,488,深圳-大连3天2晚 | 入住大连通宝宾馆 + 南方航空/东海往返机票,大连通宝宾馆 高档型 4.3分/5分,商务双标间（无窗）(双... 双床 不含早 1间2晚,南方航空 CZ6833,直飞,09:10-12:40,东海 DZ6242,经停,12:40-18:00
1930,,西安,1030,326,济南-西安3天2晚 | 入住西安丝路秦国际青年旅舍钟楼回民街店 + 华夏航空往返...,西安丝路秦国际青年旅舍钟楼回民街店 经济型 4.4分/5分,标准间（独卫）-吃货天... 双床 不含早 1间2晚,华夏航空 G54963,直飞,07:10-08:55,华夏航空 G58858,直飞,23:10-00:55
1931,深圳,大理,2613,804,深圳-大理3天2晚 | 入住Q居大理古城城落客栈 + 东方航空往返机票,Q居大理古城城落客栈 经济型 4.8分/5分,舒适大床房（限住2人）... 大床 不含早 1间2晚,东方航空 MU5760,经停,13:20-17:55,东方航空 MU5763,经停,18:20-00:10
1932,大连,西宁,2215,508,大连-西宁3天2晚 | 入住西宁万事恒鑫私属酒店 + 华夏航空往返机票,西宁万事恒鑫私属酒店 舒适型 4.0分/5分,普通标间(双床) 双床 双早 1间2晚,华夏航空 G52647,经停,14:50-19:20,华夏航空 G52648,经停,20:00-00:05
1933,厦门,武汉,977,326,厦门-武汉3天2晚 | 入住武汉长航大酒店 + 山东航空/南方航空往返机票,武汉长航大酒店 3.3分/5分,豪华标房(预付)(双床) 双床 不含早 1间2晚,山东航空 SC4797,直飞,07:00-08:45,南方航空 CZ6548,直飞,21:10-22:40
1934,天津,九寨沟,1901,522,天津-九寨沟3天2晚 | 入住阿坝漳扎九寨阳光酒店 + 天津航空往返机票,阿坝漳扎九寨阳光酒店 高档型 3.0分/5分,高级双床房 双床 不含早 1间2晚,天津航空 GS7887,直飞,19:10-22:05,天津航空 GS7888,直飞,23:15-01:50
1935,武汉,大连,1346,418,武汉-大连3天2晚 | 入住大连途家斯维登服务公寓万达广场店 + 祥鹏航空/首都...,大连途家斯维登服务公寓万达广场店 舒适型 4.7分/5分,市景大床房(空气清新房... 大床 不含早 1间2晚,祥鹏航空 8L9891,直飞,13:15-15:45,首都航空 JD5356,直飞,14:40-17:05
1936,南京,蜈支洲岛,1671,484,南京-蜈支洲岛3天2晚 | 入住三亚南海风情海景酒店 + 首都航空往返机票,三亚南海风情海景酒店 舒适型 0.0分/5分,高级标准房[双早]含兰... 大/双床 双早 1间2晚,首都航空 JD5126,直飞,11:05-14:10,首都航空 JD5125,直飞,06:20-09:30
